Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
2004,Chrysler,Pacifica,M3N5WY72XX,315,ASK,,,
2004,Chrysler,Town & Country,M3N5WY72XX,315,ASK,,,
2005,Chrysler,300,KOBDT04A,315,ASK,,,
2005,Chrysler,300,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Chrysler,Pacifica,M3N5WY72XX,315,ASK,,,
2005,Chrysler,Town & Country,M3N5WY72XX,315,ASK,,,
2006,Chrysler,300,KOBDT04A,315,ASK,,,
2006,Chrysler,300,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Chrysler,Pacifica,M3N5WY72XX,315,ASK,,,
2006,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Chrysler,Town & Country,M3N5WY72XX,315,ASK,,,
2007,Chrysler,300,KOBDT04A,315,ASK,,,
2007,Chrysler,300,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Aspen,KOBDT04A,315,ASK,,,
2007,Chrysler,Aspen,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Pacifica,M3N5WY72XX,315,ASK,,,
2007,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Town & Country,M3N5WY72XX,315,ASK,,,
2008,Chrysler,Aspen,KOBDT04A,315,ASK,,,
2008,Chrysler,Aspen,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Chrysler,Pacifica,M3N5WY72XX,315,ASK,,,
2008,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2009,Chrysler,Aspen,KOBDT04A,315,ASK,,,
2009,Chrysler,Aspen,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2010,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2010,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2010,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2011,Chrysler,200,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2011,Chrysler,300,M3N-40821302,433.92,ASK,,,
