Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
2008,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2008,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2009,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2009,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2010,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2010,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2010,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2011,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2011,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2011,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2012,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2012,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2012,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2013,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2013,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2013,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2014,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2014,Mitsubishi,Mirage,OUC644M-KEY-N,315,FSK,,,
2014,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2014,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2015,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2015,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2015,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2016,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2016,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2016,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2017,Mitsubishi,Lancer,OUC644M-KEY-N,315,FSK,,,
2017,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2017,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2018,Mitsubishi,Eclipse Cross,OUCGHR-M013,315,FSK,,,
2018,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2018,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2019,Mitsubishi,Eclipse Cross,OUCGHR-M013,315,FSK,,,
2019,Mitsubishi,Mirage,OUCGHR-M013,315,FSK,,,
2019,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2019,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2020,Mitsubishi,Eclipse Cross,OUCGHR-M013,315,FSK,,,
2020,Mitsubishi,Mirage,OUCGHR-M013,315,FSK,,,
2020,Mitsubishi,Outlander,OUC644M-KEY-N,315,FSK,,,
2020,Mitsubishi,Outlander Sport,OUC644M-KEY-N,315,FSK,,,
2001,Honda,Civic,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2001,Honda,Odyssey,OUCG8D-440H-A,307.9,FSK,,,
2002,Honda,Civic,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2002,Honda,Civic,OUCG8D-344H-A,313,FSK,,,
2002,Honda,CR-V,OUCG8D-344H-A,313,FSK,,,
2002,Honda,Odyssey,OUCG8D-440H-A,307.9,FSK,,,
2003,Honda,Accord,OUCG8D-380H-A,313.85,FSK,,,
2003,Honda,Civic,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2003,Honda,Civic,OUCG8D-344H-A,313,FSK,,,
2003,Honda,CR-V,OUCG8D-344H-A,313,FSK,,,
2003,Honda,Element,OUCG8D-344H-A,313,FSK,,,
2003,Honda,Odyssey,OUCG8D-440H-A,307.9,FSK,,,
2003,Honda,Pilot,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2004,Honda,Accord,OUCG8D-380H-A,313.85,FSK,,,
2004,Honda,Civic,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2004,Honda,Civic,OUCG8D-344H-A,313,FSK,,,
2004,Honda,CR-V,OUCG8D-344H-A,313,FSK,,,
2004,Honda,Element,OUCG8D-344H-A,313,FSK,,,
2004,Honda,Odyssey,OUCG8D-440H-A,307.9,FSK,,,
2004,Honda,Pilot,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2005,Honda,Accord,OUCG8D-380H-A,313.85,FSK,,,
2005,Honda,Civic,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2005,Honda,Civic,OUCG8D-344H-A,313,FSK,,,
2005,Honda,Element,OUCG8D-344H-A,313,FSK,,,
2005,Honda,Odyssey,OUCG8D-380H-A,313.85,FSK,,,
2005,Honda,Odyssey,OUCG8D-399H-A,313.85,FSK,,,
2005,Honda,Pilot,CWTWB1U545,433.92,FSK,,,
2005,Honda,Pilot,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2006,Honda,Accord,OUCG8D-380H-A,313.85,FSK,,,
2006,Honda,Civic,N5F-S0084A,313.85,FSK,,,
2006,Honda,Element,OUCG8D-344H-A,313,FSK,,,
2006,Honda,Odyssey,OUCG8D-380H-A,313.85,FSK,,,
2006,Honda,Odyssey,OUCG8D-399H-A,313.85,FSK,,,
2006,Honda,Pilot,CWTWB1U545,433.92,FSK,,,
2006,Honda,Pilot,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2006,Honda,Ridgeline,OUCG8D-380H-A,313.85,FSK,,,
2007,Honda,Accord,OUCG8D-380H-A,313.85,FSK,,,
2007,Honda,Civic,N5F-S0084A,313.85,FSK,,,
2007,Honda,CR-V,MLBHLIK-1T,313.85,FSK,,,
2007,Honda,Element,OUCG8D-344H-A,313,FSK,,,
2007,Honda,Fit,OUCG8D-380H-A,313.85,FSK,,,
2007,Honda,Odyssey,OUCG8D-380H-A,313.85,FSK,,,
2007,Honda,Odyssey,OUCG8D-399H-A,313.85,FSK,,,
2007,Honda,Pilot,CWTWB1U545,433.92,FSK,,,
2007,Honda,Pilot,NHVWB1U521 / NHVWB1U523,433.92,FSK,,,
2007,Honda,Ridgeline,OUCG8D-380H-A,313.85,FSK,,,
2008,Honda,Accord Sedan,KR55WK49308,313.85,FSK,,,
2008,Honda,Civic,N5F-S0084A,313.85,FSK,,,
2008,Honda,CR-V,MLBHLIK-1T,313.85,FSK,,,
2008,Honda,Element,OUCG8D-344H-A,313,FSK,,,
2008,Honda,Fit,OUCG8D-380H-A,313.85,FSK,,,
2008,Honda,Odyssey,OUCG8D-380H-A,313.85,FSK,,,
2008,Honda,Odyssey,OUCG8D-399H-A,313.85,FSK,,,
2008,Honda,Pilot,CWTWB1U545,433.92,FSK,,,
2008,Honda,Ridgeline,OUCG8D-380H-A,313.85,FSK,,,
2009,Honda,Accord Sedan,KR55WK49308,313.85,FSK,,,
2009,Honda,Civic,N5F-S0084A,313.85,FSK,,,
2009,Honda,CR-V,MLBHLIK-1T,313.85,FSK,,,
2009,Honda,Element,OUCG8D-344H-A,313,FSK,,,
2009,Honda,FIT,MLBHLIK-1T,313.85,FSK,,,
2009,Honda,Odyssey,OUCG8D-380H-A,313.85,FSK,,,
2009,Honda,Odyssey,OUCG8D-399H-A,313.85,FSK,,,
2009,Honda,Pilot,KR55WK49308,313.85,FSK,,,
