Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
1996,Nissan,200SX,KOBUTA3T,315,???,,,
1996,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1997,Nissan,200SX,KOBUTA3T,315,???,,,
1997,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1998,Nissan,200SX,KOBUTA3T,315,???,,,
1998,Nissan,Altima,KOBUTA3T,315,???,,,
1998,Nissan,Frontier,KOBUTA3T,315,???,,,
1998,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1999,Nissan,Altima,KOBUTA3T,315,???,,,
1999,Nissan,Frontier,KOBUTA3T,315,???,,,
1999,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1999,Nissan,Quest,KOBUTA3T,315,???,,,
2000,Nissan,Altima,KOBUTA3T,315,???,,,
2000,Nissan,Frontier,KOBUTA3T,315,???,,,
2000,Nissan,Quest,KOBUTA3T,315,???,,,
2000,Nissan,Xterra,KOBUTA3T,315,???,,,
2001,Nissan,Altima,KOBUTA3T,315,???,,,
2001,Nissan,Quest,KOBUTA3T,315,???,,,
2002,Nissan,Altima,KBRASTU15,315,ASK,,,
2002,Nissan,Frontier,KBRASTU15,315,ASK,,,
2002,Nissan,Maxima,KBRASTU15,315,ASK,,,
2002,Nissan,Pathfinder,KBRASTU15,315,ASK,,,
2002,Nissan,Quest,KOBUTA3T,315,???,,,
2002,Nissan,Titan,KBRASTU15,315,ASK,,,
2002,Nissan,X-Terra,KBRASTU15,315,ASK,,,
2003,Nissan,350Z,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2003,Nissan,350Z,KBRASTU15,315,ASK,,,
2003,Nissan,Altima,KBRASTU15,315,ASK,,,
2003,Nissan,Frontier,KBRASTU15,315,ASK,,,
2003,Nissan,Maxima,KBRASTU15,315,ASK,,,
2003,Nissan,Pathfinder,KBRASTU15,315,ASK,,,
2003,Nissan,Quest,KBRASTU15,315,ASK,,,
2003,Nissan,Titan,KBRASTU15,315,ASK,,,
2003,Nissan,X-Terra,KBRASTU15,315,ASK,,,
2004,Nissan,350Z,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2004,Nissan,350Z,KBRASTU15,315,ASK,,,
2004,Nissan,Altima,KBRASTU15,315,ASK,,,
2004,Nissan,Armada,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2004,Nissan,Frontier,KBRASTU15,315,ASK,,,
2004,Nissan,Maxima,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2004,Nissan,Maxima,KBRASTU15,315,ASK,,,
2004,Nissan,Murano,KBRASTU15,315,ASK,,,
2004,Nissan,Pathfinder,KBRASTU15,315,ASK,,,
2004,Nissan,Quest,KBRASTU15,315,ASK,,,
2004,Nissan,Titan,KBRASTU15,315,ASK,,,
2004,Nissan,X-Terra,KBRASTU15,315,ASK,,,
2005,Nissan,350Z,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2005,Nissan,350Z,KBRASTU15,315,ASK,,,
2005,Nissan,Altima,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2005,Nissan,Altima,KBRASTU15,315,ASK,,,
2005,Nissan,Armada,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2005,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2005,Nissan,Frontier,KBRASTU15,315,ASK,,,
2005,Nissan,Maxima,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2005,Nissan,Maxima,KBRASTU15,315,ASK,,,
2005,Nissan,Murano,KBRASTU15,315,ASK,,,
2005,Nissan,Murano,KBRTN001,315,FSK,,,
2005,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2005,Nissan,Quest,KBRASTU15,315,ASK,,,
2005,Nissan,Titan,KBRASTU15,315,ASK,,,
2005,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2005,Nissan,X-Terra,KBRASTU15,315,ASK,,,
2006,Nissan,350Z,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2006,Nissan,350Z,KBRASTU15,315,ASK,,,
2006,Nissan,Altima,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2006,Nissan,Altima,KBRASTU15,315,ASK,,,
2006,Nissan,Armada,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2006,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2006,Nissan,Frontier,KBRASTU15,315,ASK,,,
2006,Nissan,Maxima,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2006,Nissan,Maxima,KBRASTU15,315,ASK,,,
2006,Nissan,Murano,KBRASTU15,315,ASK,,,
2006,Nissan,Murano,KBRTN001,315,FSK,,,
2006,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2006,Nissan,Quest,KBRASTU15,315,ASK,,,
2006,Nissan,Titan,KBRASTU15,315,ASK,,,
2006,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2006,Nissan,X-Terra,KBRASTU15,315,ASK,,,
2007,Nissan,Altima,KR55WK48903,315,ASK,,,
2007,Nissan,Armada,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2007,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2007,Nissan,Maxima,CWTWBU735,315,FSK,,,
2007,Nissan,Murano,CWTWB1U821,315,ASK,,,
2007,Nissan,Murano,KBRTN001,315,FSK,,,
2007,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2007,Nissan,Pathfinder,CWTWBU729,315,FSK,,,
2007,Nissan,Sentra,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2007,Nissan,Sentra,CWTWB1U821,315,ASK,,,
2007,Nissan,Sentra,CWTWBU735,315,FSK,,,
2007,Nissan,Sentra,KBRASTU15,315,ASK,,,
2007,Nissan,Titan,CWTWB1U821,315,ASK,,,
2007,Nissan,Versa,CWTWB1U821,315,ASK,,,
2007,Nissan,Versa,CWTWBU729,315,FSK,,,
2007,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2008,Nissan,Altima,KR55WK48903,315,ASK,,,
2008,Nissan,Armada,CWTWB1U821,315,ASK,,,
2008,Nissan,Armada,CWTWBU624,315,FSK,,,
2008,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2008,Nissan,Maxima,CWTWBU735,315,FSK,,,
2008,Nissan,Murano,CWTWB1U821,315,ASK,,,
2008,Nissan,Murano,KBRTN001,315,FSK,,,
2008,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2008,Nissan,Pathfinder,CWTWBU729,315,FSK,,,
2008,Nissan,Rogue,CWTWBU729,315,FSK,,,
2008,Nissan,Sentra,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2008,Nissan,Sentra,CWTWB1U821,315,ASK,,,
2008,Nissan,Sentra,CWTWBU735,315,FSK,,,
2008,Nissan,Sentra,KBRASTU15,315,ASK,,,
2008,Nissan,Titan,CWTWB1U821,315,ASK,,,
2008,Nissan,Versa,CWTWB1U821,315,ASK,,,
2008,Nissan,Versa,CWTWBU729,315,FSK,,,
2008,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2009,Nissan,370Z,KR55WK49622,315,FSK,,,
2009,Nissan,Altima,KR55WK48903,315,ASK,,,
2009,Nissan,Armada,CWTWB1U821,315,ASK,,,
2009,Nissan,Armada,CWTWBU624,315,FSK,,,
2009,Nissan,Cube,CWTWB1U825 / CWTWB1U773,noRecord,XXX,,,
2009,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2009,Nissan,Maxima,KR55WK48903,315,ASK,,,
2009,Nissan,Murano,KR55WK49622,315,FSK,,,
2009,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2009,Nissan,Pathfinder,CWTWBU729,315,FSK,,,
2009,Nissan,Rogue,CWTWBU729,315,FSK,,,
2009,Nissan,Sentra,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2009,Nissan,Sentra,CWTWB1U821,315,ASK,,,
2009,Nissan,Sentra,CWTWBU735,315,FSK,,,
2009,Nissan,Sentra,KBRASTU15,315,ASK,,,
2009,Nissan,Titan,CWTWB1U821,315,ASK,,,
2009,Nissan,Versa,CWTWB1U821,315,ASK,,,
2009,Nissan,Versa,CWTWBU729,315,FSK,,,
2009,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2010,Nissan,370Z,KR55WK49622,315,FSK,,,
2010,Nissan,Altima,KR55WK48903,315,ASK,,,
2010,Nissan,Armada,CWTWB1U821,315,ASK,,,
2010,Nissan,Armada,CWTWBU624,315,FSK,,,
2010,Nissan,Cube,CWTWB1U825 / CWTWB1U773,noRecord,XXX,,,
2010,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2010,Nissan,Maxima,KR55WK48903,315,ASK,,,
2010,Nissan,Murano,KR55WK49622,315,FSK,,,
2010,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2010,Nissan,Pathfinder,CWTWBU729,315,FSK,,,
2010,Nissan,Rogue,CWTWBU729,315,FSK,,,
2010,Nissan,Sentra,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2010,Nissan,Sentra,CWTWB1U821,315,ASK,,,
2010,Nissan,Sentra,CWTWBU735,315,FSK,,,
2010,Nissan,Sentra,KBRASTU15,315,ASK,,,
2010,Nissan,Titan,CWTWB1U821,315,ASK,,,
2010,Nissan,Versa,CWTWB1U821,315,ASK,,,
2010,Nissan,Versa,CWTWBU729,315,FSK,,,
2010,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2011,Nissan,370Z,KR55WK49622,315,FSK,,,
2011,Nissan,Altima,KR55WK48903,315,ASK,,,
2011,Nissan,Armada,CWTWB1U821,315,ASK,,,
2011,Nissan,Armada,CWTWBU624,315,FSK,,,
2011,Nissan,Cube,CWTWB1U808,314.975,FSK,,,
2011,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2011,Nissan,Juke,CWTWB1U808,314.975,FSK,,,
2011,Nissan,Leaf,CWTWB1U808,314.975,FSK,,,
2011,Nissan,Maxima,KR55WK48903,315,ASK,,,
2011,Nissan,Murano,KR55WK49622,315,FSK,,,
2011,Nissan,NV,CWTWB1U821,315,ASK,,,
2011,Nissan,Pathfinder,CWTWB1U821,315,ASK,,,
2011,Nissan,Pathfinder,CWTWBU729,315,FSK,,,
2011,Nissan,Quest,CWTWB1U789,314.975,FSK,,,
2011,Nissan,Quest,CWTWB1U808,314.975,FSK,,,
2011,Nissan,Quest,CWTWB1U818,314.975,FSK,,,
2011,Nissan,Rogue,CWTWBU729,315,FSK,,,
2011,Nissan,Sentra,CWTWB1U751,315,ASK,Possible Rollback 2 Strict 8 seconds. Compatible? with CWTWB1U815,,
2011,Nissan,Sentra,CWTWB1U821,315,ASK,,,
2011,Nissan,Sentra,CWTWBU735,315,FSK,,,
2011,Nissan,Sentra,KBRASTU15,315,ASK,,,
2011,Nissan,Titan,CWTWB1U821,315,ASK,,,
2011,Nissan,Versa,CWTWB1U821,315,ASK,,,
2011,Nissan,Versa,CWTWBU729,315,FSK,,,
2011,Nissan,X-Terra,CWTWB1U821,315,ASK,,,
2012,Nissan,370Z,KR55WK49622,315,FSK,,,
2012,Nissan,Altima,KR55WK48903,315,ASK,,,
2012,Nissan,Armada,CWTWB1U821,315,ASK,,,
2012,Nissan,Armada,CWTWBU624,315,FSK,,,
2012,Nissan,Cube,CWTWB1U808,314.975,FSK,,,
2012,Nissan,Frontier,CWTWB1U821,315,ASK,,,
2012,Nissan,Juke,CWTWB1U808,314.975,FSK,,,
2012,Nissan,Leaf,CWTWB1U808,314.975,FSK,,,
2012,Nissan,Maxima,KR55WK48903,315,ASK,,,
2012,Nissan,Murano,KR55WK49622,315,FSK,,,
2012,Nissan,NV,CWTWB1U821,315,ASK,,,
2012,Nissan,Pathfinder,CWTWBU729,315,FSK,,,
2012,Nissan,Quest,CWTWB1U789,314.975,FSK,,,
2012,Nissan,Quest,CWTWB1U808,314.975,FSK,,,
2012,Nissan,Quest,CWTWB1U818,314.975,FSK,,,
