Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
1998,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
1999,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
1999,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,Toyota,Sienna,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,Toyota,Solara,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,Toyota,Solara,HYQ12BAN,314.35,ASK,,,
1999,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2000,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2000,Toyota,Avalon,HYQ12BAN,314.35,ASK,,,
2000,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2000,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2000,Toyota,Celica,HYQ12BAN,314.35,ASK,,,
2000,Toyota,Celica,HYQ12BBX,314.35,ASK,,,
2000,Toyota,Echo,HYQ12BBX,314.35,ASK,,,
2000,Toyota,Sienna,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2000,Toyota,Solara,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2000,Toyota,Solara,HYQ12BAN,314.35,ASK,,,
2000,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2000,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2000,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2001,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2001,Toyota,Avalon,HYQ12BAN,314.35,ASK,,,
2001,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2001,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2001,Toyota,Celica,HYQ12BAN,314.35,ASK,,,
2001,Toyota,Celica,HYQ12BBX,314.35,ASK,,,
2001,Toyota,Echo,HYQ12BBX,314.35,ASK,,,
2001,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2001,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2001,Toyota,Prius,HYQ12BAN,314.35,ASK,,,
2001,Toyota,Prius,HYQ12BBX,314.35,ASK,,,
2001,Toyota,RAV4,HYQ12BBX,314.35,ASK,,,
2001,Toyota,Sienna,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2001,Toyota,Solara,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2001,Toyota,Solara,HYQ12BAN,314.35,ASK,,,
2001,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2001,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2001,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2002,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2002,Toyota,Avalon,HYQ12BAN,314.35,ASK,,,
2002,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2002,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2002,Toyota,Celica,HYQ12BAN,314.35,ASK,,,
2002,Toyota,Celica,HYQ12BBX,314.35,ASK,,,
2002,Toyota,Echo,HYQ12BBX,314.35,ASK,,,
2002,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2002,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2002,Toyota,Prius,HYQ12BAN,314.35,ASK,,,
2002,Toyota,Prius,HYQ12BBX,314.35,ASK,,,
2002,Toyota,RAV4,HYQ12BBX,314.35,ASK,,,
2002,Toyota,Sienna,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2002,Toyota,Solara,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2002,Toyota,Solara,HYQ12BAN,314.35,ASK,,,
2002,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2002,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2002,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2003,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2003,Toyota,Avalon,HYQ12BAN,314.35,ASK,,,
2003,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2003,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2003,Toyota,Celica,HYQ12BAN,314.35,ASK,,,
2003,Toyota,Celica,HYQ12BBX,314.35,ASK,,,
2003,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2003,Toyota,Echo,HYQ12BBX,314.35,ASK,,,
2003,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2003,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2003,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2003,Toyota,Prius,HYQ12BAN,314.35,ASK,,,
2003,Toyota,Prius,HYQ12BBX,314.35,ASK,,,
2003,Toyota,RAV4,HYQ12BBX,314.35,ASK,,,
2003,Toyota,Sequoia,HYQ12BBX,314.35,ASK,,,
2003,Toyota,Sienna,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2003,Toyota,Solara,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2003,Toyota,Solara,HYQ12BAN,314.35,ASK,,,
2003,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2003,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2003,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2003,Toyota,Tundra,HYQ12BBX,314.35,ASK,,,
2004,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2004,Toyota,Avalon,HYQ12BAN,314.35,ASK,,,
2004,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2004,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2004,Toyota,Celica,HYQ12BAN,314.35,ASK,,,
2004,Toyota,Celica,HYQ12BBX,314.35,ASK,,,
2004,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2004,Toyota,Echo,HYQ12BAN,314.35,ASK,,,
2004,Toyota,Echo,HYQ12BBX,314.35,ASK,,,
2004,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2004,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2004,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2004,Toyota,Prius,MOZB21EG,noRecord,XXX,,,
2004,Toyota,Prius,MOZB31EG,312.15,ASK,,,
2004,Toyota,RAV4,HYQ12BBX,314.35,ASK,,,
2004,Toyota,Sequoia,HYQ12BBX,314.35,ASK,,,
2004,Toyota,Sienna,GQ43VT20T,315,ASK,,,
2004,Toyota,Solara,GQ43VT20T,315,ASK,,,
2004,Toyota,Solara,HYQ12BAN,314.35,ASK,,,
2004,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2004,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2004,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2004,Toyota,Tundra,HYQ12BBX,314.35,ASK,,,
2005,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2005,Toyota,Avalon,GQ43VT20T,315,ASK,,,
2005,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2005,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2005,Toyota,Celica,HYQ12BAN,314.35,ASK,,,
2005,Toyota,Celica,HYQ12BBX,314.35,ASK,,,
2005,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2005,Toyota,Echo,HYQ12BAN,314.35,ASK,,,
2005,Toyota,Echo,HYQ12BBX,314.35,ASK,,,
2005,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2005,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2005,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2005,Toyota,Prius,MOZB21EG,noRecord,XXX,,,
2005,Toyota,Prius,MOZB31EG,312.15,ASK,,,
2005,Toyota,RAV4,HYQ12BBX,314.35,ASK,,,
2005,Toyota,Sequoia,HYQ12BBX,314.35,ASK,,,
2005,Toyota,Sienna,GQ43VT20T,315,ASK,,,
2005,Toyota,Solara,GQ43VT20T,315,ASK,,,
2005,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2005,Toyota,Tacoma,GQ43VT20T,315,ASK,,,
2005,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2005,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2005,Toyota,Tundra,HYQ12BBX,314.35,ASK,,,
2006,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Avalon,GQ43VT20T,315,ASK,,,
2006,Toyota,Avalon,HYQ14AAB,314.35,ASK,,,
2006,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2006,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Prius,MOZB21EG,noRecord,XXX,,,
2006,Toyota,Prius,MOZB31EG,312.15,ASK,,,
2006,Toyota,RAV4,HYQ12BBY,314.35,ASK,,,
2006,Toyota,Sequoia,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Sienna,GQ43VT20T,315,ASK,,,
2006,Toyota,Solara,GQ43VT20T,315,ASK,,,
2006,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2006,Toyota,Tacoma,GQ43VT20T,315,ASK,,,
2006,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2006,Toyota,Tundra,HYQ12BBX,314.35,ASK,,,
2007,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Avalon,GQ4-29T,315,ASK,,,
2007,Toyota,Avalon,GQ43VT20T,315,ASK,,,
2007,Toyota,Avalon,HYQ14AAB,314.35,ASK,,,
2007,Toyota,Camry,HYQ12BBY,314.35,ASK,,,
2007,Toyota,Camry,HYQ14AAB,314.35,ASK,,,
2007,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2007,Toyota,FJ Cruiser,HYQ12BAN,314.35,ASK,,,
2007,Toyota,FJ Cruiser,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2007,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2007,Toyota,Prius,MOZB21EG,noRecord,XXX,,,
2007,Toyota,Prius,MOZB31EG,312.15,ASK,,,
2007,Toyota,RAV4,HYQ12BBY,314.35,ASK,,,
2007,Toyota,Sequoia,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Sienna,GQ43VT20T,315,ASK,,,
2007,Toyota,Solara,GQ43VT20T,315,ASK,,,
2007,Toyota,Tacoma,GQ43VT20T,315,ASK,,,
2007,Toyota,Tundra,GQ43VT20T,315,ASK,,,
2007,Toyota,Yaris,HYQ12BBX,314.35,ASK,,,
2007,Toyota,Yaris,MOZB41TG,312.5,ASK,,,
2008,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2008,Toyota,Avalon,GQ4-29T,315,ASK,,,
2008,Toyota,Avalon,GQ43VT20T,315,ASK,,,
2008,Toyota,Avalon,HYQ14AAB,314.35,ASK,,,
2008,Toyota,Camry,HYQ12BBY,314.35,ASK,,,
2008,Toyota,Camry,HYQ14AAB,314.35,ASK,,,
2008,Toyota,Corolla,GQ4-29T,315,ASK,,,
2008,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2008,Toyota,FJ Cruiser,HYQ12BAN,314.35,ASK,,,
2008,Toyota,FJ Cruiser,HYQ12BBX,314.35,ASK,,,
2008,Toyota,Highlander,GQ43VT20T,315,ASK,,,
2008,Toyota,Highlander,HYQ14AAB,314.35,ASK,,,
2008,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2008,Toyota,Prius,MOZB21EG,noRecord,XXX,,,
2008,Toyota,Prius,MOZB31EG,312.15,ASK,,,
2008,Toyota,RAV4,HYQ12BBY,314.35,ASK,,,
2008,Toyota,RAV4,HYQ14AAB,314.35,ASK,,,
